postal_code;federal_district;region;city;timezone;geo_lat;geo_lon;population;foundation_year
385200;Южный;Республика Адыгея;Адыгейск;UTC+3;44.878414;39.190289;12689;1969
385000;Южный;Республика Адыгея;Майкоп;UTC+3;44.6098268;40.1006606;144055;1857
649000;Сибирский;Республика Алтай;Горно-Алтайск;UTC+7;51.9581028;85.9603235;62861;1830
658125;Сибирский;Алтайский край;Алейск;UTC+7;52.4922513;82.7793606;28528;1913
656000;Сибирский;Алтайский край;Барнаул;UTC+7;53.3479968;83.7798064;635585;1730
659900;Сибирский;Алтайский край;Белокуриха;UTC+7;51.996152;84.9839604;15072;1846
659300;Сибирский;Алтайский край;Бийск;UTC+7;52.5393864;85.2138453;203826;1709
658420;Сибирский;Алтайский край;Горняк;UTC+7;50.9979622;81.4643358;13040;1942
659100;Сибирский;Алтайский край;Заринск;UTC+7;53.7063476;84.9315081;47035;1748
658480;Сибирский;Алтайский край;Змеиногорск;UTC+7;51.1581094;82.1872547;10569;1736
658700;Сибирский;Алтайский край;Камень-на-Оби;UTC+7;53.7913974;81.3545053;41787;1751
658041;Сибирский;Алтайский край;Новоалтайск;UTC+7;53.4119759;83.9311069;73134;1736
658200;Сибирский;Алтайский край;Рубцовск;UTC+7;51.5012067;81.2078695;146386;1892
658820;Сибирский;Алтайский край;Славгород;UTC+7;52.999463;78.6459232;30370;1910
658837;Сибирский;Алтайский край;Яровое;UTC+7;52.9252146;78.5729775;18085;1943
676805;Дальневосточный;Амурская область;Белогорск;UTC+9;50.9213415;128.4739471;68220;1860
675000;Дальневосточный;Амурская область;Благовещенск;UTC+9;50.290659;127.527198;214397;1856
676870;Дальневосточный;Амурская область;Завитинск;UTC+9;50.1064111;129.4391813;11481;1906
676151;Дальневосточный;Амурская область;Зея;UTC+9;53.7340088;127.265787;25042;1879
676770;Дальневосточный;Амурская область;Райчихинск;UTC+9;49.7941615;129.4112492;20499;1932
676450;Дальневосточный;Амурская область;Свободный;UTC+9;51.3614103;128.1219729;58594;1912
676011;Дальневосточный;Амурская область;Сковородино;UTC+9;53.9871095;123.9437205;9561;1908
676280;Дальневосточный;Амурская область;Тында;UTC+9;55.1546441;124.7468904;35574;1907
676470;Дальневосточный;Амурская область;Циолковский;UTC+9;51.762481;128.1219846;6208;1961
676301;Дальневосточный;Амурская область;Шимановск;UTC+9;52.0051886;127.7005458;19815;1910
163000;Северо-Западный;Архангельская область;Архангельск;UTC+3;64.5394289;40.5169606;348716;1584
165150;Северо-Западный;Архангельская область;Вельск;UTC+3;61.066;42.1032789;23885;1137
164110;Северо-Западный;Архангельская область;Каргополь;UTC+3;61.5009724;38.9636966;10148;1447
165650;Северо-Западный;Архангельская область;Коряжма;UTC+3;61.2885948;47.1003015;39629;1535
165300;Северо-Западный;Архангельская область;Котлас;UTC+3;61.2528972;46.633242;60562;1617
164750;Северо-Западный;Архангельская область;Мезень;UTC+3;65.8398078;44.2532273;3599;1500
164170;Северо-Западный;Архангельская область;Мирный;UTC+3;62.7645265;40.3360076;30259;1957
164900;Северо-Западный;Архангельская область;Новодвинск;UTC+3;64.4136851;40.8208143;40612;1936
164200;Северо-Западный;Архангельская область;Няндома;UTC+3;61.6654674;40.2062947;22354;1898
164840;Северо-Западный;Архангельская область;Онега;UTC+3;63.9162928;38.0805031;21359;1137
164500;Северо-Западный;Архангельская область;Северодвинск;UTC+3;64.5625385;39.8180934;192265;1936
165330;Северо-Западный;Архангельская область;Сольвычегодск;UTC+3;61.3319616;46.920441;2460;1492
165160;Северо-Западный;Архангельская область;Шенкурск;UTC+3;62.1057272;42.8996973;5702;1137
414000;Южный;Астраханская область;Астрахань;UTC+4;46.3655652;48.0559236;520662;1558
416500;Южный;Астраханская область;Ахтубинск;UTC+4;48.2752034;46.1906462;41898;1768
416540;Южный;Астраханская область;Знаменск;UTC+4;48.5866291;45.7368019;29357;1948
416340;Южный;Астраханская область;Камызяк;UTC+4;46.110579;48.07333;16291;1560
416111;Южный;Астраханская область;Нариманов;UTC+4;46.6916565;47.8502476;11386;1963
416010;Южный;Астраханская область;Харабали;UTC+4;47.408999;47.2525345;18209;1789
452920;Приволжский;Республика Башкортостан;Агидель;UTC+5;55.8999056;53.9220144;16365;1980
453630;Приволжский;Республика Башкортостан;Баймак;UTC+5;52.5912896;58.3110998;17710;1850
452000;Приволжский;Республика Башкортостан;Белебей;UTC+5;54.1034582;54.1113129;60183;1757
453500;Приволжский;Республика Башкортостан;Белорецк;UTC+5;53.9676488;58.4100419;68804;1762
452450;Приволжский;Республика Башкортостан;Бирск;UTC+5;55.4155753;55.5582214;41637;1663
453430;Приволжский;Республика Башкортостан;Благовещенск;UTC+5;55.0499867;55.9553186;34246;1756
453400;Приволжский;Республика Башкортостан;Давлеканово;UTC+5;54.2226707;55.0312373;24040;1730
452320;Приволжский;Республика Башкортостан;Дюртюли;UTC+5;55.4848318;54.8524765;31272;1795
453200;Приволжский;Республика Башкортостан;Ишимбай;UTC+5;53.4545764;56.0438751;66259;1932
453300;Приволжский;Республика Башкортостан;Кумертау;UTC+5;52.7564939;55.7970197;62854;1947
453570;Приволжский;Республика Башкортостан;Межгорье;UTC+5;54.2397689;57.9614547;17353;1979
453853;Приволжский;Республика Башкортостан;Мелеуз;UTC+5;52.9589532;55.9282838;61408;1766
452680;Приволжский;Республика Башкортостан;Нефтекамск;UTC+5;56.088377;54.2483061;121757;1957
452601;Приволжский;Республика Башкортостан;Октябрьский;UTC+5;54.4815311;53.4655972;109379;1937
453250;Приволжский;Республика Башкортостан;Салават;UTC+5;53.3616974;55.9245224;156085;1948
453830;Приволжский;Республика Башкортостан;Сибай;UTC+5;52.7204651;58.6663783;62732;1925
453100;Приволжский;Республика Башкортостан;Стерлитамак;UTC+5;53.6300864;55.9317089;273432;1766
452750;Приволжский;Республика Башкортостан;Туймазы;UTC+5;54.5999224;53.6950623;66849;1912
450000;Приволжский;Республика Башкортостан;Уфа;UTC+5;54.734944;55.9578468;1062300;1574
453700;Приволжский;Республика Башкортостан;Учалы;UTC+5;54.3067375;59.4125461;37771;1750
452800;Приволжский;Республика Башкортостан;Янаул;UTC+5;56.2650146;54.929907;26988;1730
309850;Центральный;Белгородская область;Алексеевка;UTC+3;50.6299647;38.6880342;39026;1685
308000;Центральный;Белгородская область;Белгород;UTC+3;50.5976472;36.5856652;356426;1596
309920;Центральный;Белгородская область;Бирюч;UTC+3;50.6484585;38.4005083;7842;1705
309990;Центральный;Белгородская область;Валуйки;UTC+3;50.2111207;38.0998772;35322;1593
309370;Центральный;Белгородская область;Грайворон;UTC+3;50.4862958;35.6663877;6234;1678
309180;Центральный;Белгородская область;Губкин;UTC+3;51.2837123;37.5347759;88562;1939
309210;Центральный;Белгородская область;Короча;UTC+3;50.8129041;37.1896436;5877;1637
309640;Центральный;Белгородская область;Новый Оскол;UTC+3;50.7633747;37.8775484;19530;1637
309500;Центральный;Белгородская область;Старый Оскол;UTC+3;51.2967101;37.8350182;221163;1593
309070;Центральный;Белгородская область;Строитель;UTC+3;50.7845099;36.4887648;23933;1958
309290;Центральный;Белгородская область;Шебекино;UTC+3;50.4004883;36.8877889;44277;1713
241000;Центральный;Брянская область;Брянск;UTC+3;53.2419535;34.3652146;415640;985
242600;Центральный;Брянская область;Дятьково;UTC+3;53.5958178;34.3551812;29438;1626
242700;Центральный;Брянская область;Жуковка;UTC+3;53.5340397;33.7302579;18269;1871
243600;Центральный;Брянская область;Злынка;UTC+3;52.4267015;31.7360399;5507;1702
242500;Центральный;Брянская область;Карачев;UTC+3;53.1296524;34.9888727;19715;1146
243140;Центральный;Брянская область;Клинцы;UTC+3;52.7529119;32.233911;62510;1707
243220;Центральный;Брянская область;Мглин;UTC+3;53.0599771;32.8468129;7916;1387
243020;Центральный;Брянская область;Новозыбков;UTC+3;52.537173;31.9357991;40552;1701
243400;Центральный;Брянская область;Почеп;UTC+3;52.9154851;33.4744058;17933;1447
242440;Центральный;Брянская область;Севск;UTC+3;52.1483358;34.4918415;7282;1146
241550;Центральный;Брянская область;Сельцо;UTC+3;53.3739884;34.1059172;17933;1870
243240;Центральный;Брянская область;Стародуб;UTC+3;52.5852257;32.760403;19010;1080
243500;Центральный;Брянская область;Сураж;UTC+3;53.0170888;32.3938878;11640;1600
242220;Центральный;Брянская область;Трубчевск;UTC+3;52.5791734;33.7660547;15014;975
243300;Центральный;Брянская область;Унеча;UTC+3;52.8461199;32.6757629;26196;1887
242610;Центральный;Брянская область;Фокино;UTC+3;53.4554145;34.4159238;13874;1899
671230;Дальневосточный;Республика Бурятия;Бабушкин;UTC+8;51.7112755;105.8673219;4542;1760
671160;Дальневосточный;Республика Бурятия;Гусиноозерск;UTC+8;51.2865048;106.5230319;23280;1939
671950;Дальневосточный;Республика Бурятия;Закаменск;UTC+8;50.372713;103.286699;11249;1934
671840;Дальневосточный;Республика Бурятия;Кяхта;UTC+8;50.346543;106.4533516;20013;1727
671700;Дальневосточный;Республика Бурятия;Северобайкальск;UTC+8;55.635614;109.3361505;23673;1974
670000;Дальневосточный;Республика Бурятия;Улан-Удэ;UTC+8;51.8335853;107.5842223;431922;1666
601650;Центральный;Владимирская область;Александров;UTC+3;56.391819;38.7111123;61544;1300
600000;Центральный;Владимирская область;Владимир;UTC+3;56.1280804;40.4084376;348256;990
601440;Центральный;Владимирская область;Вязники;UTC+3;56.29773;42.2687398;41252;1608
601480;Центральный;Владимирская область;Гороховец;UTC+3;56.2021036;42.6926111;14015;1158
601500;Центральный;Владимирская область;Гусь-Хрустальный;UTC+3;55.6198751;40.6579929;60773;1756
601300;Центральный;Владимирская область;Камешково;UTC+3;56.3490152;40.9955183;13113;1892
601640;Центральный;Владимирская область;Карабаново;UTC+3;56.3131822;38.7034257;14868;1630
601010;Центральный;Владимирская область;Киржач;UTC+3;56.1486863;38.8635701;30044;1332
601900;Центральный;Владимирская область;Ковров;UTC+3;56.3554349;41.3170576;145492;1100
601780;Центральный;Владимирская область;Кольчугино;UTC+3;56.3327254;39.391336;45804;1871
601110;Центральный;Владимирская область;Костерево;UTC+3;55.9337222;39.6247398;9136;1890
601570;Центральный;Владимирская область;Курлово;UTC+3;55.452698;40.6124108;6791;1811
601240;Центральный;Владимирская область;Лакинск;UTC+3;56.0180587;39.956551;15707;1400
602101;Центральный;Владимирская область;Меленки;UTC+3;55.3387515;41.6340046;15208;1700
602205;Центральный;Владимирская область;Муром;UTC+3;55.5630311;42.0231362;116078;862
601140;Центральный;Владимирская область;Петушки;UTC+3;55.9298134;39.4508075;15167;1861
601120;Центральный;Владимирская область;Покров;UTC+3;55.9166398;39.1734526;17762;1506
600910;Центральный;Владимирская область;Радужный;UTC+3;55.9960277;40.3321855;18212;1971
601201;Центральный;Владимирская область;Собинка;UTC+3;55.9939169;40.0179653;19482;1858
601670;Центральный;Владимирская область;Струнино;UTC+3;56.3749967;38.5839667;14372;1492
601351;Центральный;Владимирская область;Судогда;UTC+3;55.9498056;40.8562939;11848;1552
601291;Центральный;Владимирская область;Суздаль;UTC+3;56.4274441;40.4525692;10535;999
601800;Центральный;Владимирская область;Юрьев-Польский;UTC+3;56.4937757;39.6680539;19588;1152
400000;Южный;Волгоградская область;Волгоград;UTC+3;48.7070042;44.5170339;1021244;1589
404100;Южный;Волгоградская область;Волжский;UTC+3;48.7978209;44.7462538;314436;1951
404002;Южный;Волгоградская область;Дубовка;UTC+3;49.0554742;44.8270085;14345;1732
403790;Южный;Волгоградская область;Жирновск;UTC+3;50.9768814;44.7858202;16890;1700
404500;Южный;Волгоградская область;Калач-на-Дону;UTC+3;48.6889024;43.5306303;26892;1708
403870;Южный;Волгоградская область;Камышин;UTC+3;50.0651529;45.3844202;119924;1668
404350;Южный;Волгоградская область;Котельниково;UTC+3;47.6310259;43.1330872;20441;1897
403801;Южный;Волгоградская область;Котово;UTC+3;50.3205766;44.8030699;24104;1710
404160;Южный;Волгоградская область;Краснослободск;UTC+3;48.7068721;44.5630857;16007;1870
404620;Южный;Волгоградская область;Ленинск;UTC+3;48.6936061;45.1992692;15527;1802
403340;Южный;Волгоградская область;Михайловка;UTC+3;50.0708719;43.2401512;59153;1762
404030;Южный;Волгоградская область;Николаевск;UTC+3;50.0165306;45.4731658;15081;1747
403950;Южный;Волгоградская область;Новоаннинский;UTC+3;50.5296067;42.6666439;17911;1956
404260;Южный;Волгоградская область;Палласовка;UTC+3;50.0500944;46.8804277;15984;1907
403840;Южный;Волгоградская область;Петров Вал;UTC+3;50.1380557;45.20914;13264;1942
403441;Южный;Волгоградская область;Серафимович;UTC+3;49.5663183;42.7360402;9368;1589
404410;Южный;Волгоградская область;Суровикино;UTC+3;48.618917;42.8541163;20527;1744
403110;Южный;Волгоградская область;Урюпинск;UTC+3;50.7903789;42.0288513;41594;1618
403530;Южный;Волгоградская область;Фролово;UTC+3;49.7649148;43.6648641;39489;1859
162480;Северо-Западный;Вологодская область;Бабаево;UTC+3;59.3892583;35.9377058;12074;1400
161200;Северо-Западный;Вологодская область;Белозерск;UTC+3;60.0308381;37.7890586;9614;862
162390;Северо-Западный;Вологодская область;Великий Устюг;UTC+3;60.7603913;46.3054414;31664;1147
160000;Северо-Западный;Вологодская область;Вологда;UTC+3;59.2483905;39.8355662;301642;1147
162900;Северо-Западный;Вологодская область;Вытегра;UTC+3;61.0063465;36.4495137;10490;1710
162000;Северо-Западный;Вологодская область;Грязовец;UTC+3;58.8757553;40.2485362;15528;1538
162107;Северо-Западный;Вологодская область;Кадников;UTC+3;59.5037764;40.3441148;4797;1492
161100;Северо-Западный;Вологодская область;Кириллов;UTC+3;59.8591523;38.3748782;7735;1397
162341;Северо-Западный;Вологодская область;Красавино;UTC+3;60.9612823;46.4814116;7003;1848
161440;Северо-Западный;Вологодская область;Никольск;UTC+3;59.5351837;45.4576137;8515;1300
162129;Северо-Западный;Вологодская область;Сокол;UTC+3;59.4758605;40.1114187;38454;1615
161300;Северо-Западный;Вологодская область;Тотьма;UTC+3;59.9734998;42.7589506;9784;1137
162840;Северо-Западный;Вологодская область;Устюжна;UTC+3;58.8383117;36.4425478;9478;1252
162250;Северо-Западный;Вологодская область;Харовск;UTC+3;59.9479423;40.2000298;10078;1903
162600;Северо-Западный;Вологодская область;Череповец;UTC+3;59.1269212;37.9090497;312311;1777
397700;Центральный;Воронежская область;Бобров;UTC+3;51.0901649;40.0318256;19738;1698
396790;Центральный;Воронежская область;Богучар;UTC+3;49.9352454;40.5590801;11811;1704
397160;Центральный;Воронежская область;Борисоглебск;UTC+3;51.3655754;42.1008334;65585;1698
397500;Центральный;Воронежская область;Бутурлиновка;UTC+3;50.8311818;40.5976923;27208;1740
394000;Центральный;Воронежская область;Воронеж;UTC+3;51.6593332;39.1969229;889680;1586
397600;Центральный;Воронежская область;Калач;UTC+3;50.4242134;41.0162014;20046;1716
397904;Центральный;Воронежская область;Лиски;UTC+3;50.9945626;39.5184909;55864;1500
396070;Центральный;Воронежская область;Нововоронеж;UTC+3;51.3091524;39.2162843;32635;1957
397400;Центральный;Воронежская область;Новохоперск;UTC+3;51.0952211;41.6173404;6849;1710
397837;Центральный;Воронежская область;Острогожск;UTC+3;50.8677905;39.0407746;33842;1652
396420;Центральный;Воронежская область;Павловск;UTC+3;50.453455;40.136874;25126;1709
397350;Центральный;Воронежская область;Поворино;UTC+3;51.1954419;42.2472726;17692;1870
396650;Центральный;Воронежская область;Россошь;UTC+3;50.1701949;39.6226965;62865;1600
396900;Центральный;Воронежская область;Семилуки;UTC+3;51.6951644;39.0190454;26025;1615
397030;Центральный;Воронежская область;Эртиль;UTC+3;51.830932;40.8074182;11387;1897
368220;Северо-Кавказский;Республика Дагестан;Буйнакск;UTC+3;42.8214424;47.1165263;65735;1834
368670;Северо-Кавказский;Республика Дагестан;Дагестанские Огни;UTC+3;42.1152296;48.1939354;30671;1914
368007;Северо-Кавказский;Республика Дагестан;Дербент;UTC+3;42.058966;48.2907452;119961;438
368500;Северо-Кавказский;Республика Дагестан;Избербаш;UTC+3;42.5650962;47.8710051;56301;1932
368300;Северо-Кавказский;Республика Дагестан;Каспийск;UTC+3;42.8916007;47.6367066;103914;1932
368120;Северо-Кавказский;Республика Дагестан;Кизилюрт;UTC+3;43.203825;46.8729636;36187;1963
368830;Северо-Кавказский;Республика Дагестан;Кизляр;UTC+3;43.8484083;46.7233699;49169;1735
367000;Северо-Кавказский;Республика Дагестан;Махачкала;UTC+3;42.9849159;47.5047181;577990;1844
368006;Северо-Кавказский;Республика Дагестан;Хасавюрт;UTC+3;43.2504665;46.5851292;133929;1846
368890;Северо-Кавказский;Республика Дагестан;Южно-Сухокумск;UTC+3;44.6602467;45.6499523;10048;1958
679002;Дальневосточный;Еврейская автономная область;Биробиджан;UTC+10;48.7946446;132.9217207;75419;1915
679100;Дальневосточный;Еврейская автономная область;Облучье;UTC+10;49.0189345;131.0540102;9379;1911
673450;Дальневосточный;Забайкальский край;Балей;UTC+9;51.5823759;116.6379549;12536;1736
674600;Дальневосточный;Забайкальский край;Борзя;UTC+9;50.3876058;116.5234779;31376;1899
674670;Дальневосточный;Забайкальский край;Краснокаменск;UTC+9;50.0929703;118.0323936;55668;1967
673730;Дальневосточный;Забайкальский край;Могоча;UTC+9;53.7361398;119.7660867;13228;1910
673400;Дальневосточный;Забайкальский край;Нерчинск;UTC+9;51.9594977;116.5852383;14976;1653
673000;Дальневосточный;Забайкальский край;Петровск-Забайкальский;UTC+9;51.2748592;108.846681;18555;1789
673500;Дальневосточный;Забайкальский край;Сретенск;UTC+9;52.2461454;117.7117842;6850;1689
673200;Дальневосточный;Забайкальский край;Хилок;UTC+9;51.3634856;110.4590898;11530;1895
672000;Дальневосточный;Забайкальский край;Чита;UTC+9;52.0340142;113.4994;323964;1653
673303;Дальневосточный;Забайкальский край;Шилка;UTC+9;51.8497035;116.0334461;13947;1897
155330;Центральный;Ивановская область;Вичуга;UTC+3;57.2044698;41.9132201;37609;1925
155000;Центральный;Ивановская область;Гаврилов Посад;UTC+3;56.5586946;40.1228906;6434;1434
155410;Центральный;Ивановская область;Заволжск;UTC+3;57.4918141;42.1375625;12045;1800
153000;Центральный;Ивановская область;Иваново;UTC+3;56.9993792;40.9728272;409277;1561
155800;Центральный;Ивановская область;Кинешма;UTC+3;57.4425463;42.168914;88113;1429
155150;Центральный;Ивановская область;Комсомольск;UTC+3;57.0273052;40.3776851;8693;1931
153510;Центральный;Ивановская область;Кохма;UTC+3;56.9324606;41.0931657;29408;1619
155830;Центральный;Ивановская область;Наволоки;UTC+3;57.4679066;41.9608002;10207;1775
155555;Центральный;Ивановская область;Плес;UTC+3;57.4606031;41.5122672;2341;1410
155550;Центральный;Ивановская область;Приволжск;UTC+3;57.3805743;41.2808565;16749;1484
155360;Центральный;Ивановская область;Пучеж;UTC+3;56.9820688;43.1683321;8583;1594
155250;Центральный;Ивановская область;Родники;UTC+3;57.1025975;41.7298834;26318;1606
155040;Центральный;Ивановская область;Тейково;UTC+3;56.8542719;40.5353874;34993;1600
155520;Центральный;Ивановская область;Фурманов;UTC+3;57.2539276;41.1054432;36149;1918
155900;Центральный;Ивановская область;Шуя;UTC+3;56.8560234;41.3800939;58528;1394
155630;Центральный;Ивановская область;Южа;UTC+3;56.5926877;42.0458099;14170;1628
155450;Центральный;Ивановская область;Юрьевец;UTC+3;57.3177781;43.1110401;10205;1225
386230;Северо-Кавказский;Республика Ингушетия;Карабулак;UTC+3;43.3055248;44.9094582;31081;1859
386001;Северо-Кавказский;Республика Ингушетия;Магас;UTC+3;43.1688611;44.8131207;2505;1995
386300;Северо-Кавказский;Республика Ингушетия;Малгобек;UTC+3;43.5096646;44.5901963;31076;1934
386100;Северо-Кавказский;Республика Ингушетия;Назрань;UTC+3;43.2257841;44.7645779;93357;1781
386200;Северо-Кавказский;Республика Ингушетия;Сунжа;UTC+3;43.3204196;45.0476331;64493;1845
665160;Сибирский;Иркутская область;Алзамай;UTC+8;55.5551233;98.6643699;6751;1899
665800;Сибирский;Иркутская область;Ангарск;UTC+8;52.544879;103.888543;233765;1948
665930;Сибирский;Иркутская область;Байкальск;UTC+8;51.5230393;104.1487532;13589;1961
665050;Сибирский;Иркутская область;Бирюсинск;UTC+8;55.9609167;97.8205348;8981;1967
666901;Сибирский;Иркутская область;Бодайбо;UTC+8;57.8468636;114.1866287;15331;1864
665700;Сибирский;Иркутская область;Братск;UTC+8;56.1513108;101.6340035;246348;1631
665770;Сибирский;Иркутская область;Вихоревка;UTC+8;56.1208145;101.1702926;22528;1957
665650;Сибирский;Иркутская область;Железногорск-Илимский;UTC+8;56.5847888;104.114275;26134;1948
665382;Сибирский;Иркутская область;Зима;UTC+8;53.920693;102.0491772;32522;1743
664000;Сибирский;Иркутская область;Иркутск;UTC+8;52.2864036;104.2807466;587225;1661
666700;Сибирский;Иркутская область;Киренск;UTC+8;57.7756595;108.1109412;12652;1630
665100;Сибирский;Иркутская область;Нижнеудинск;UTC+8;54.8968931;99.0314056;37056;1648
666300;Сибирский;Иркутская область;Саянск;UTC+8;54.1107238;102.18015;40786;1970
665420;Сибирский;Иркутская область;Свирск;UTC+8;53.0842668;103.3364093;13649;1800
665902;Сибирский;Иркутская область;Слюдянка;UTC+8;51.6563983;103.7187545;18542;1899
665000;Сибирский;Иркутская область;Тайшет;UTC+8;55.9405334;98.0030145;35481;1897
665250;Сибирский;Иркутская область;Тулун;UTC+8;54.557162;100.5780603;44603;1735
665450;Сибирский;Иркутская область;Усолье-Сибирское;UTC+8;52.7565808;103.6388109;83364;1669
666671;Сибирский;Иркутская область;Усть-Илимск;UTC+8;57.9430504;102.7415734;86591;1966
666780;Сибирский;Иркутская область;Усть-Кут;UTC+8;56.7928178;105.7757343;45061;1631
665400;Сибирский;Иркутская область;Черемхово;UTC+8;53.1369095;103.0901268;52650;1772
666031;Сибирский;Иркутская область;Шелехов;UTC+8;52.2102538;104.0973294;47960;1953
361500;Северо-Кавказский;Кабардино-Балкарская Республика;Баксан;UTC+3;43.6819137;43.5345036;36857;1891
361110;Северо-Кавказский;Кабардино-Балкарская Республика;Майский;UTC+3;43.6281516;44.0517314;26755;1800
360000;Северо-Кавказский;Кабардино-Балкарская Республика;Нальчик;UTC+3;43.4845464;43.60713;240095;1724
361330;Северо-Кавказский;Кабардино-Балкарская Республика;Нарткала;UTC+3;43.5578075;43.8575925;31679;1913
361040;Северо-Кавказский;Кабардино-Балкарская Республика;Прохладный;UTC+3;43.7589602;44.0102409;59595;1765
361200;Северо-Кавказский;Кабардино-Балкарская Республика;Терек;UTC+3;43.4839358;44.1402161;19170;1876
361621;Северо-Кавказский;Кабардино-Балкарская Республика;Тырныауз;UTC+3;43.3981585;42.9213582;21000;1934
361400;Северо-Кавказский;Кабардино-Балкарская Республика;Чегем;UTC+3;43.5671525;43.5865792;17988;1822
238420;Северо-Западный;Калининградская область;Багратионовск;UTC+2;54.3866518;20.6418091;6399;1336
238520;Северо-Западный;Калининградская область;Балтийск;UTC+2;54.6513372;19.9140572;32670;1626
238210;Северо-Западный;Калининградская область;Гвардейск;UTC+2;54.6588378;21.0501388;13888;1255
238300;Северо-Западный;Калининградская область;Гурьевск;UTC+2;54.770638;20.6039767;12433;1262
238050;Северо-Западный;Калининградская область;Гусев;UTC+2;54.5915455;22.1942445;28260;1500
238326;Северо-Западный;Калининградская область;Зеленоградск;UTC+2;54.9600185;20.4753652;13015;1252
236001;Северо-Западный;Калининградская область;Калининград;UTC+2;54.7074702;20.5073241;431491;1255
238730;Северо-Западный;Калининградская область;Краснознаменск;UTC+2;54.9453423;22.4928745;3522;1576
238460;Северо-Западный;Калининградская область;Ладушкин;UTC+2;54.5692156;20.1690153;3788;1314
238450;Северо-Западный;Калининградская область;Мамоново;UTC+2;54.4646036;19.9453482;7757;1301
238710;Северо-Западный;Калининградская область;Неман;UTC+2;55.0316524;22.0324064;11794;1277
238010;Северо-Западный;Калининградская область;Нестеров;UTC+2;54.6313814;22.5713736;4584;1539
238120;Северо-Западный;Калининградская область;Озерск;UTC+2;54.4084705;22.0134438;4740;1539
238590;Северо-Западный;Калининградская область;Пионерский;UTC+2;54.9516574;20.2277424;11017;1254
238630;Северо-Западный;Калининградская область;Полесск;UTC+2;54.8625126;21.0998067;7580;1258
238400;Северо-Западный;Калининградская область;Правдинск;UTC+2;54.4430986;21.0085269;4323;1312
238510;Северо-Западный;Калининградская область;Приморск;UTC+2;54.7311437;19.9981926;1956;1268
238560;Северо-Западный;Калининградская область;Светлогорск;UTC+2;54.9439286;20.1514295;10775;1258
238340;Северо-Западный;Калининградская область;Светлый;UTC+2;54.6772897;20.1357595;21380;1640
238600;Северо-Западный;Калининградская область;Славск;UTC+2;55.0449714;21.6742367;4614;1292
238750;Северо-Западный;Калининградская область;Советск;UTC+2;55.0809336;21.8886106;41709;1288
238150;Северо-Западный;Калининградская область;Черняховск;UTC+2;54.6244751;21.7969062;40464;1336
359050;Южный;Республика Калмыкия;Городовиковск;UTC+3;46.0875083;41.935537;9565;1872
359220;Южный;Республика Калмыкия;Лагань;UTC+3;45.3930912;47.3432602;14323;1870
358000;Южный;Республика Калмыкия;Элиста;UTC+3;46.3083344;44.2702088;103728;1865
249000;Центральный;Калужская область;Балабаново;UTC+3;55.1773714;36.6566951;26337;1584
249160;Центральный;Калужская область;Белоусово;UTC+3;55.0956803;36.677629;8432;1962
249010;Центральный;Калужская область;Боровск;UTC+3;55.2130096;36.4926251;12283;1358
